Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
564,6,0.4000,6.000,37.00,0.1091,0.984870,"YLR453C YDR369C YMR133W YBR063C YJR021C YBL088C"
565,4,0.5000,3.000,22.00,0.09091,0.987210,"YKR099W YGL242C YLR359W YBR276C"
566,9,0.4167,15.00,80.00,0.1327,0.995225,"YMR004W YJL154C YOR132W YOR069W YJL053W YOR171C YHR070W YHR012W YOR034C"
567,7,0.4286,9.000,145.0,0.05357,0.999464,"YKL139W YJR070C YML112W YJL006C YER090W YDR169C YJL060W"
568,5,0.4000,4.000,16.00,0.1333,0.949826,"YKL071W YPL157W YNR012W YNR004W YDR020C"
569,6,0.4000,6.000,42.00,0.1000,0.968869,"YDR295C YNL021W YPL109C YCL021W-A YPR179C YKL134C"
570,5,0.4000,4.000,65.00,0.05063,0.949826,"YDL182W YBR175W YJR094W-A YDR500C YPL029W"
571,5,0.4000,4.000,40.00,0.07407,0.993551,"YLR069C YGL068W YOR032C YDR361C YHR022C"
572,11,0.9636,53.00,58.00,0.3985,0.00318766,"YEL048C YKR068C YDR407C YOR115C YGR166W YDR246W YMR218C YDR472W YBR254C YDR108W YML077W"
573,5,0.4000,4.000,36.00,0.08000,0.992647,"YML132W YOR192C YCL038C YPL263C YBR054W"
574,6,0.4000,6.000,38.00,0.1071,0.874801,"YGR163W YBR158W YBR077C YKR039W YCR015C YGR201C"
