Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
13,8,0.6071,17.00,299.0,0.05120,0.998948,"YDR224C YCR086W YBL002W YDL089W YDR439W YJL208C YML034W YLR133W"
14,11,0.6000,33.00,336.0,0.08440,0.999013,"YDR212W YJL014W YJR064W YDR188W YKR036C YNL212W YOR230W YOR212W YNL317W YIL142W YDR030C"
15,30,0.6069,264.0,770.0,0.2413,0.958324,"YOR261C YFR052W YOL038W YMR314W YIL075C YDR427W YFR010W YER021W YDR363W-A YGL048C YMR191W YDL097C YKL145W YOR209C YDR394W YPR108W YOR259C YHL030W YJL001W YDL007W YDL147W YCR014C YIR011C YIL007C YLR421C YDL020C YGL004C YGL141W YBR272C YGR232W"
16,10,0.6222,28.00,238.0,0.09790,0.995030,"YCR028C-A YDR097C YAR007C YCR092C YJL173C YML032C YDL156W YMR234W YNL312W YLR226W"
17,6,0.6000,9.000,94.00,0.07826,0.998671,"YLR455W YBL052C YJR082C YOR064C YLR223C YPR031W"
18,6,0.6000,9.000,172.0,0.04663,0.996475,"YER142C YML056C YLR432W YGR237C YOR243C YOR360C"
19,33,0.7027,371.0,272.0,0.5233,3.85835e-08,"YDR347W YGL129C YDR337W YMR188C YGR165W YNL137C YPL118W YDR175C YOR158W YHL004W YDR124W YGR084C YBR251W YPR125W YDL045W-A YNL306W YBR146W YKL155C YDR041W YDR036C YJR113C YMR158W YGR215W YIL093C YNR037C YBL090W YJR101W YPL013C YER050C YKL003C YNL081C YDR494W YNR036C"
20,7,0.6190,13.00,183.0,0.06190,0.930677,"YCR028C-A YPR161C YML032C YNL312W YGR208W YLR226W YJL131C"
21,3,0.6667,2.000,12.00,0.1000,0.917920,"YJL083W YPL109C YKL134C"
22,7,0.6667,14.00,248.0,0.05072,0.998437,"YGR091W YDR190C YPL235W YCR060W YHR034C YPL053C YPL193W"
23,5,0.6000,6.000,143.0,0.03774,0.996774,"YOL041C YOR233W YKL082C YBL009W YKL078W"
24,5,0.6000,6.000,117.0,0.04511,0.982773,"YGR086C YNL067W YKL142W YJR156C YLR179C"
25,47,0.6041,653.0,1100,0.3535,0.00337710,"YHR165C YMR240C YOR308C YER172C YBR055C YDR482C YLR275W YMR125W YDR473C YPL151C YNR011C YDR364C YLL036C YFL017W-A YGR091W YML046W YJL203W YDL087C YML049C YMR213W YGR013W YPR101W YNL147W YPL213W YPR178W YPR082C YOR159C YGR075C YBR152W YBL074C YKL173W YDL030W YMR288W YDL098C YDL209C YPR182W YLR117C YER029C YGR074W YLR147C YDL043C YLR424W YGR278W YDR378C YGL128C YJR050W YDR416W"
26,6,0.6000,9.000,128.0,0.06040,0.940605,"YKL129C YMR109W YOR035C YOR247W YGL242C YKR069W"
27,5,0.6000,6.000,91.00,0.05607,0.955658,"YDL192W YNR028W YDL137W YPR095C YDR358W"
28,6,0.6000,9.000,215.0,0.03814,0.998499,"YKL104C YKL211C YLR180W YCL030C YML124C YBL022C"
29,6,0.6000,9.000,160.0,0.04972,0.997760,"YOR039W YOR119C YGL019W YMR172W YOL026C YGR068C"
30,3,0.6667,2.000,12.00,0.1000,0.987691,"YAL008W YPL186C YHR003C"
31,8,0.6071,17.00,321.0,0.04802,0.971666,"YDR021W YJL138C YOL139C YGR162W YJR007W YGL049C YKR059W YLR023C"
32,3,0.6667,2.000,4.000,0.1667,0.603926,"YMR293C YBL080C YGR102C"
